Sample,X(ms) [06.04.0057 14:41:38 778 UTC],CurrentSetpoint(l),ScaledInput(l),Output(%)
163,1.77549E+12,50,107.4327011,50
164,1.77549E+12,50,109.2121964,50
165,1.77549E+12,50,111.4257965,0
166,1.77549E+12,50,113.129303,0
167,1.77549E+12,50,114.8438034,0
168,1.77549E+12,50,114.4964981,0
169,1.77549E+12,50,114.0516968,0
170,1.77549E+12,50,114.1276016,0
171,1.77549E+12,50,114.2144012,0
172,1.77549E+12,50,114.2686996,0
173,1.77549E+12,50,113.9540024,0
174,1.77549E+12,50,114.084198,0
175,1.77549E+12,50,114.0951004,0
176,1.77549E+12,50,114.040802,0
177,1.77549E+12,50,114.1384964,0
178,1.77549E+12,50,114.084198,0
179,1.77549E+12,50,114.1059036,0
180,1.77549E+12,50,114.0951004,0
181,1.77549E+12,50,114.084198,0
182,1.77549E+12,50,114.084198,0
183,1.77549E+12,50,114.0733032,0
184,1.77549E+12,50,114.084198,0
185,1.77549E+12,50,114.084198,0
186,1.77549E+12,50,114.084198,0
187,1.77549E+12,50,114.084198,0
188,1.77549E+12,50,114.084198,0
189,1.77549E+12,50,114.084198,0
190,1.77549E+12,50,114.084198,0
